Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
8224,8332,4.079961790637298e-11,15.000004528736616,15.00000458507248
8229,8336,-9.019226556716831e-10,15.000005086658378,15.000005151617836
8238,8343,2.083261545493542e-10,15.000005089257202,15.0000051552008
8245,8352,8.221763536653271e-11,15.00000509494692,15.000005160020121
8255,8365,-2.336713826878167e-10,15.000005100208238,15.000005166504199
8264,8378,-3.041441161144576e-10,15.000005106460497,15.000005174470049
8272,8388,-3.764708509379489e-10,15.000005111478254,15.00000518119769
8278,8395,-4.506522994773832e-10,15.000005115261509,15.000005186687115
8287,8403,-3.375254227222513e-10,15.000005120093812,15.000005191745672
8298,8413,-4.098526922291512e-10,15.000005125111569,15.000005196618774
8306,8423,-4.191253211160984e-10,15.000005132538986,15.000005203409469
8319,8436,-6.157059129208165e-10,15.000005138917354,15.000005210012853
8328,8445,-6.892691803983553e-10,15.000005145790883,15.000005217357435
8338,8458,-7.003967006369293e-10,15.000005151365619,15.000005222909918
8346,8467,-8.363957206825035e-10,15.000005158301585,15.000005230192063
8358,8479,-9.742496320797046e-10,15.00000516276669,15.000005235617817
8973,9066,-7.993051855947898e-10,15.000005171864427,15.000005243829085
8980,9074,5.79851594295633e-10,15.000005548810655,15.000005608079158
8991,9085,-9.6064971266685e-10,15.000005554678408,15.00000561024773
9001,9094,-1.0799582632614602e-09,15.000005560979503,15.00000561631021
9009,9103,-1.2005031724271475e-09,15.000005569754551,15.000005625462347
9020,9113,-1.3229024382610533e-09,15.000005572967844,15.000005629667196
9029,9124,-1.0694492367235854e-09,15.000005580132536,15.00000563548426
9039,9137,-1.5015563281650656e-09,15.000005584891893,15.00000564123394
9051,9150,-1.5015560954623195e-09,15.00000559169186,15.000005649270264
9057,9156,-1.5015560386189009e-09,15.000005599728183,15.000005657924765
9065,9165,-1.5009379819019842e-09,15.000005603436637,15.000005661634455
9076,9176,-1.6882462503531316e-09,15.000005607333017,15.000005666392578
9085,9185,-1.50093787176786e-09,15.000005615182033,15.000005673379851
9101,9203,-1.7488277102017946e-09,15.000005620375353,15.000005678695572
9113,9215,-1.874936229384616e-09,15.000005629155963,15.000005688460323
9122,9224,-1.877408710271311e-09,15.000005637194759,15.000005697112352
9933,10045,-2.005371943170076e-09,15.00000564350451,15.000005704402534
9939,10052,-2.388024320509885e-09,15.000006145230117,15.000006209690087
9944,10056,-2.0245355525361225e-09,15.00000614795752,15.00000621314447
